Business Unit;Job Title;Full Name;Age;Hire Date
Research & Development;Sr. Manger;Emily Davis;55;2016-04-08
Speciality Products;Director;Luna Sanders;50;2006-10-26
Manufacturing;Computer Systems Manager;Penelope Jordan;26;2019-09-27
Corporate;Manager;Ruby Barnes;27;2020-07-01
Speciality Products;Sr. Analyst;Madeline Walker;34;2018-06-13
Manufacturing;Sr. Manger;Savannah Ali;36;2009-02-11
Speciality Products;Controls Engineer;Camila Rogers;27;2021-10-21
Research & Development;Sr. Manger;Everleigh Ng;51;2021-06-10
Research & Development;Vice President;Isabella Xi;41;2013-03-13
Research & Development;Director;Bella Powell;65;2002-03-04
Speciality Products;Sr. Manger;Camila Silva;64;2003-12-01
Manufacturing;Director;Eva Rivera;36;2021-04-02
Corporate;Quality Engineer;Abigail Mejia;56;2005-02-05
Research & Development;Analyst;Caroline Jenkins;27;2018-05-06
Manufacturing;Enterprise Architect;Nora Brown;32;2014-02-11
Manufacturing;Controls Engineer;Adeline Huang;34;2019-12-16
Manufacturing;Technical Architect;Riley Padilla;35;2013-05-15
Corporate;Enterprise Architect;Leah Pena;57;1994-01-03
Speciality Products;Manager;Kennedy Foster;53;2013-11-23
Research & Development;Sr. Manger;Sadie Washington;29;2019-05-24
Research & Development;Director;Eva Coleman;37;2009-09-20
Manufacturing;Director;Lucy Alexander;45;2014-10-29
Research & Development;HRIS Analyst;Everleigh Washington;64;2001-10-20
Manufacturing;Analyst II;Leilani Butler;27;2021-09-21
Manufacturing;Sr. Manger;Peyton Huang;25;2021-07-02
Research & Development;Director;Rylee Yu;36;2015-09-29
Research & Development;Field Engineer;Piper Lewis;33;2018-12-22
Corporate;Automation Engineer;Stella Alexander;52;2005-12-10
Manufacturing;Operations Engineer;Addison Do;46;2001-05-30
Manufacturing;Business Partner;Zoey Jackson;46;2008-08-21
Corporate;Sr. Manger;Ava Ayala;55;2006-08-16
Manufacturing;Sr. Analyst;Natalia Salazar;44;2019-01-02
Corporate;Engineering Manager;Skylar Carrillo;44;2008-12-18
Corporate;Analyst;Penelope Coleman;36;2021-08-27
Corporate;Sr. Analyst;Piper Richardson;38;2008-01-27
Speciality Products;HRIS Analyst;Everly Walker;41;2009-10-23
Research & Development;Manager;Aurora Ali;30;2016-04-24
Speciality Products;Vice President;Penelope Guerrero;43;2009-08-04
Speciality Products;Cloud Infrastructure Architect;Anna Mehta;32;2020-01-05
Speciality Products;Director;Jade Rojas;37;2019-01-28
Speciality Products;Manager;Isla Espinoza;38;2021-11-16
Research & Development;Test Engineer;Mila Hong;30;2017-05-22
Research & Development;Director;Everleigh Fernandez;30;2016-05-22
Manufacturing;Business Partner;Willow Mai;45;2003-12-17
Corporate;Cloud Infrastructure Architect;Genesis Navarro;41;2009-04-28
Corporate;Network Architect;Eliza Hernandez;48;2019-07-04
Speciality Products;Sr. Manger;Everly Chow;33;2018-04-21
Corporate;Analyst II;Amelia Salazar;26;2019-04-23
Manufacturing;Sr. Manger;Mia Cheng;34;2015-04-22
Speciality Products;Vice President;Rylee Yu;54;2011-07-10
Manufacturing;Network Architect;Zoe Romero;32;2021-10-05
Manufacturing;Vice President;Nevaeh Jones;31;2020-08-20
Research & Development;Test Engineer;Samantha Adams;45;2013-04-22
Speciality Products;Computer Systems Manager;Madeline Shin;48;2007-01-09
Corporate;Director;Leilani Chow;27;2021-02-23
Research & Development;Field Engineer;Ivy Soto;50;1997-10-23
Corporate;Development Engineer;Aurora Simmons;51;1995-12-22
Corporate;Sr. Account Representative;Gabriella Gupta;41;2005-02-15
Research & Development;Director;Skylar Liu;29;2020-08-09
Manufacturing;System Administrator ;Nova Coleman;44;2006-12-13
Research & Development;Director;Evelyn Dinh;41;2018-08-10
Manufacturing;Sr. Manger;Mia Lam;49;2006-04-18
Manufacturing;Sr. Analyst;Scarlett Rodriguez;60;2007-02-24
Corporate;Sr. Analyst;Cora Rivera;42;2021-01-02
Manufacturing;Enterprise Architect;Sophia Huynh;55;2005-08-09
Speciality Products;Analyst II;Athena Carrillo;39;2006-04-06
Manufacturing;Manager;Vivian Lewis;65;2011-09-07
Corporate;Analyst;Elena Vang;52;2019-02-19
Corporate;Operations Engineer;Natalia Diaz;62;2006-10-12
Corporate;Sr. Analyst;Mila Leung;39;2007-11-05
Manufacturing;Systems Analyst;Ava Nelson;63;1992-04-01
Corporate;Vice President;Isla Lai;37;2011-12-06
Manufacturing;Director;Everleigh Espinoza;54;2018-01-22
Research & Development;Analyst;Evelyn Jung;30;2021-02-14
Corporate;Vice President;Sophie Silva;28;2017-07-06
Manufacturing;Vice President;Kennedy Rahman;49;2003-02-28
Research & Development;Automation Engineer;Nevaeh Kang;46;2021-01-10
Speciality Products;Sr. Analyst;Hannah Nelson;35;2019-09-07
Corporate;Vice President;Paisley Kang;61;2017-03-10
Corporate;Sr. Manger;Genesis Perry;46;2013-07-18
Research & Development;Network Architect;Lily Carter;54;1998-05-18
Speciality Products;Sr. Analyst;Avery Bailey;49;1996-05-15
Manufacturing;Enterprise Architect;Piper Cheng;62;2009-03-15
Speciality Products;Network Architect;Skylar Watson;28;2021-10-08
Speciality Products;Vice President;Camila Watson;32;2018-01-02
Research & Development;Sr. Business Partner;Skylar Doan;58;1994-08-21
Research & Development;Quality Engineer;Gianna Williams;27;2021-01-28
Research & Development;Sr. Account Representative;Emma Brooks;30;2016-12-18
Corporate;Vice President;Isla Wong;56;2014-03-16
Research & Development;Sr. Manger;Everly Walker;62;1999-08-02
Manufacturing;Sr. Business Partner;Mila Pena;45;2007-12-21
Manufacturing;Director;Ava Garza;27;2018-06-25
Manufacturing;Manager;Maria Griffin;59;2007-04-25
Speciality Products;Vice President;Maria Hong;43;2005-07-31
Manufacturing;Analyst;Sophie Ali;55;2002-03-28
Manufacturing;IT Coordinator;Emma Hill;54;2016-12-27
Speciality Products;Sr. Analyst;Leilani Yee;47;2017-07-12
Manufacturing;Network Engineer;Charlotte Chu;50;2001-01-23
Manufacturing;Account Representative;Ayla Ng;46;2004-03-20
Corporate;Director;Aubrey Romero;49;1998-04-02
Manufacturing;Vice President;Luna Liu;36;2014-02-22
Manufacturing;Service Desk Analyst;Brooklyn Reyes;36;2019-12-19
Corporate;Vice President;Hadley Parker;30;2016-09-21
Corporate;Analyst;Sarah Ayala;47;2015-06-09
Manufacturing;Development Engineer;Ella White;25;2020-01-20
Speciality Products;Account Representative;Nova Herrera;45;2014-05-10
Corporate;Sr. Analyst;Luna Simmons;28;2020-09-04
Speciality Products;Vice President;Samantha Barnes;29;2017-01-05
Manufacturing;Vice President;Skylar Bell;30;2018-03-06
Manufacturing;Service Desk Analyst;Anna Zhu;48;2003-08-22
Manufacturing;Analyst;Ella Hunter;51;2017-01-18
Corporate;Sr. Analyst;Emery Hunter;28;2021-07-03
Manufacturing;Cloud Infrastructure Architect;Sofia Parker;36;2014-05-30
Research & Development;Director;Aria Xi;45;2002-03-01
Corporate;Sr. Account Representative;Lucy Fong;40;2011-01-20
Research & Development;Director;Vivian Barnes;51;2021-03-28
Research & Development;Development Engineer;Melody Cooper;44;2009-09-04
Corporate;Vice President;Kinsley Vega;33;2020-12-16
Research & Development;Test Engineer;Emilia Rivera;42;2017-11-23
Research & Development;Sr. Analyst;Penelope Johnson;34;2012-06-25
Research & Development;Analyst II;Eva Figueroa;48;2014-05-14
Corporate;Vice President;Cora Jiang;53;2008-04-30
Manufacturing;Sr. Manger;Layla Torres;37;2013-02-24
Manufacturing;Sr. Manger;Eleanor Chan;49;2001-04-02
Research & Development;Director;Aria Xi;45;2002-03-01
Manufacturing;Sr. Manger;Sarah Daniels;55;2011-01-09
Speciality Products;Engineering Manager;Aria Castro;45;2014-03-14
Corporate;Enterprise Architect;Autumn Joseph;39;2018-05-09
Speciality Products;Service Desk Analyst;Evelyn Liang;40;2013-06-26
Speciality Products;Director;Zoe Rodriguez;65;2004-05-23
Corporate;Vice President;Isabella Soto;27;2021-12-15
Manufacturing;Sr. Manger;Eva Jenkins;55;2004-11-10
Research & Development;Vice President;Samantha Foster;34;2019-07-27
Speciality Products;Director;Jade Li;47;2012-10-26
Speciality Products;Vice President;Kinsley Acosta;32;2020-07-22
Manufacturing;Sr. Manger;Clara Kang;39;2017-03-25
Speciality Products;Sr. Analyst;Harper Alexander;26;2019-10-14
Manufacturing;Computer Systems Manager;Charlotte Ruiz;32;2017-10-02
Research & Development;Director;Everleigh Jiang;58;2003-05-14
Research & Development;Field Engineer;Audrey Smith;58;1995-10-27
Research & Development;Vice President;Emery Acosta;42;2013-09-11
Research & Development;Analyst;Nora Santiago;55;1996-06-26
Manufacturing;Sr. Manger;Caroline Herrera;45;2004-08-19
