Business Unit;Job Title;Full Name;Age;Hire Date
Manufacturing;Technical Architect;Theodore Dinh;59;1997-11-29
Manufacturing;Sr. Analyst;Austin Vo;55;1995-11-20
Corporate;Account Representative;Joshua Gupta;57;2017-01-24
Manufacturing;Analyst;Luke Martin;25;2020-05-16
Manufacturing;Manager;Easton Bailey;29;2019-01-25
Manufacturing;Manager;Eli Jones;59;1999-03-14
Speciality Products;Sr. Analyst;Robert Yang;31;2017-11-04
Corporate;Director;David Barnes;64;2013-11-03
Research & Development;Director;Adam Dang;45;2002-07-09
Manufacturing;Sr. Manger;Elias Alvarado;56;2012-01-09
Research & Development;Director;Logan Rivera;59;2002-05-24
Speciality Products;Analyst;Leonardo Dixon;37;2019-09-05
Speciality Products;Vice President;Mateo Her;44;2014-03-02
Speciality Products;Director;Jose Henderson;41;2015-04-17
Speciality Products;Vice President;Wyatt Chin;43;2004-06-07
Speciality Products;Engineering Manager;Carson Lu;64;1996-12-04
Corporate;Vice President;Dylan Choi;63;2012-05-11
Research & Development;IT Coordinator;Ezekiel Kumar;28;2017-06-25
Manufacturing;Analyst;Dominic Guzman;65;2004-05-16
Research & Development;Analyst II;Angel Powell;61;2008-07-11
Speciality Products;Account Representative;Mateo Vu;30;2016-09-29
Research & Development;Vice President;Jackson Perry;27;2019-10-20
Speciality Products;Sr. Business Partner;Owen Lam;30;2017-05-29
Speciality Products;Vice President;John Moore;52;2005-11-08
Speciality Products;Account Representative;William Vu;37;2013-11-14
Research & Development;Enterprise Architect;Gabriel Holmes;40;2010-11-04
Corporate;Computer Systems Manager;Wyatt Rojas;32;2013-03-20
Research & Development;Quality Engineer;Dominic Clark;52;2012-10-17
Manufacturing;Analyst II;John Contreras;35;2011-05-15
Research & Development;Sr. Manger;John Chow;45;2021-03-11
Speciality Products;Vice President;Christian Sanders;45;2013-08-07
Manufacturing;Field Engineer;William Foster;58;2002-05-23
Corporate;Controls Engineer;David Chu;55;1998-09-03
Research & Development;Vice President;Thomas Padilla;57;2003-07-26
Manufacturing;IT Coordinator;Miles Salazar;36;2010-12-23
Manufacturing;Computer Systems Manager;Benjamin Moua;40;2007-07-02
Corporate;Analyst II;Samuel Morales;34;2015-06-27
Manufacturing;Sr. Manger;John Soto;60;2015-09-23
Corporate;Analyst II;Joseph Martin;41;2016-09-13
Research & Development;Engineering Manager;Jose Ross;53;1992-04-08
Speciality Products;Quality Engineer;Parker James;45;2005-02-05
Speciality Products;Director;Lincoln Hall;26;2020-07-28
Manufacturing;Director;Jack Cheng;42;2014-01-16
Manufacturing;Network Engineer;Gabriel Brooks;29;2018-12-10
Research & Development;Manager;Jack Huynh;27;2018-09-25
Manufacturing;Account Representative;Xavier Zheng;31;2017-07-22
Research & Development;Sr. Business Partner;Matthew Chau;53;2002-11-16
Research & Development;Computer Systems Manager;Nolan Bui;28;2020-05-26
Speciality Products;Development Engineer;Noah King;56;2015-01-27
Speciality Products;Analyst II;Connor Simmons;55;2007-04-05
Speciality Products;Sr. Manger;Grayson Cooper;64;2013-06-29
Manufacturing;Controls Engineer;Andrew Thomas;36;2016-12-02
Research & Development;Director;Ezekiel Desai;42;2003-01-15
Corporate;Vice President;Brooks Marquez;61;2019-09-24
Corporate;Director;Connor Joseph;50;1998-07-22
Corporate;Manager;Liam Jung;39;2010-01-14
Speciality Products;Cloud Infrastructure Architect;Greyson Sanders;28;2019-03-06
Speciality Products;Field Engineer;Mateo Chu;27;2020-04-16
Manufacturing;Sr. Manger;Ezekiel Reed;37;2014-02-25
Speciality Products;Field Engineer;Nolan Guzman;46;1999-06-20
Manufacturing;Enterprise Architect;Mateo Williams;40;2011-01-22
Research & Development;Vice President;Levi Mendez;39;2011-08-23
Speciality Products;Quality Engineer;Julian Fong;61;2002-11-22
Corporate;Vice President;Anthony Rogers;33;2015-06-18
Speciality Products;Network Engineer;Matthew Gupta;45;2005-09-18
Research & Development;Technical Architect;Silas Chavez;51;2008-04-15
Manufacturing;Manager;Colton Thao;55;1995-11-16
Speciality Products;Field Engineer;Alexander Bryant;30;2021-10-02
Research & Development;Solutions Architect;Elias Zhang;54;2013-07-13
Manufacturing;Field Engineer;Joseph Ruiz;45;2002-02-26
Research & Development;Analyst II;Miles Hsu;55;2014-03-16
Manufacturing;Network Architect;Jaxon Park;33;2020-07-24
Corporate;Manager;Elijah Henry;32;2014-01-03
Research & Development;Manager;Lucas Thomas;55;2000-04-28
Speciality Products;Engineering Manager;Hudson Liu;34;2017-11-16
Speciality Products;Sr. Analyst;Jaxson Sandoval;61;2017-05-03
Manufacturing;Enterprise Architect;Jameson Alvarado;47;1999-03-14
Speciality Products;Vice President;Joseph Ly;40;2009-02-28
Speciality Products;Director;Daniel Richardson;30;2018-05-20
Corporate;Sr. Manger;Elias Figueroa;45;2021-12-24
Research & Development;Technical Architect;Mason Zhao;46;2021-10-26
Research & Development;Vice President;Jaxson Mai;48;2014-03-08
Speciality Products;Manager;Nathan Mendez;53;2006-10-31
Research & Development;Manager;Alexander Choi;55;1994-09-18
Research & Development;Manager;Julian Ross;51;2020-07-02
Corporate;Analyst;Jack Brown;55;2004-12-07
Research & Development;IT Systems Architect;Jeremiah Chu;31;2020-09-12
Speciality Products;Systems Analyst;Miles Cho;47;1999-03-10
Research & Development;IT Systems Architect;Caleb Marquez;29;2019-10-15
Speciality Products;Analyst;Eli Soto;38;2016-05-02
Research & Development;Sr. Manger;Carter Mejia;29;2019-05-09
Manufacturing;Sr. Business Partner;Ethan Clark;33;2017-08-04
Speciality Products;Sr. Manger;Asher Jackson;50;2003-03-25
Corporate;Engineering Manager;Jose Kang;57;1999-04-25
Manufacturing;Service Desk Analyst;Jaxson Wright;54;2010-12-28
Corporate;Manager;Elias Ali;28;2021-03-19
Manufacturing;Analyst;Nolan Pena;30;2018-06-21
Manufacturing;System Administrator ;Jonathan Chavez;29;2017-05-11
Manufacturing;Vice President;Elijah Kang;35;2011-10-10
Speciality Products;Director;Jordan Truong;45;2014-08-28
Corporate;Network Administrator;Daniel Jordan;58;1993-07-26
Speciality Products;Operations Engineer;Daniel Dixon;51;1999-10-09
Research & Development;Manager;Luca Duong;48;2004-06-30
Corporate;Sr. Analyst;Levi Brown;36;2021-12-26
Research & Development;Vice President;Mason Cho;59;2011-05-18
Manufacturing;Sr. Manger;Elijah Watson;29;2017-03-16
Speciality Products;Sr. Analyst;Wesley Gray;62;2003-04-22
Corporate;Manager;Wesley Sharma;51;1994-02-23
Research & Development;Development Engineer;Mateo Mendez;47;1998-07-14
Manufacturing;Controls Engineer;Jose Molina;40;2008-02-28
Corporate;Sr. Analyst;Hunter Ortiz;46;2013-01-20
Speciality Products;Sr. Account Representative;Thomas Aguilar;45;2021-02-10
Corporate;Vice President;John Vega;50;2004-01-18
Corporate;Engineering Manager;Kai Chow;45;2001-04-12
Manufacturing;Manager;James Bui;64;1998-07-20
Research & Development;Sr. Business Partner;Liam Grant;30;2015-03-15
Corporate;Analyst;Owen Han;28;2017-05-12
Speciality Products;Manager;Leonardo Martin;51;1995-02-16
Manufacturing;Vice President;Greyson Lam;25;2021-02-08
Corporate;Sr. Manger;Ezekiel Jordan;33;2013-02-10
Research & Development;HRIS Analyst;Luke Mai;41;2007-10-24
Corporate;Sr. Manger;Charles Diaz;55;2013-11-16
Manufacturing;Test Engineer;Adam Espinoza;36;2009-04-09
Research & Development;Director;Jack Maldonado;31;2020-08-26
Speciality Products;Manager;Cooper Mitchell;43;2006-01-31
Manufacturing;Manager;Jack Edwards;38;2008-04-06
Corporate;Vice President;John Vega;50;2004-01-18
Speciality Products;Director;Luke Munoz;64;2017-08-25
Manufacturing;Sr. Business Partner;Henry Alvarez;48;2005-04-12
Corporate;Test Engineer;Benjamin Delgado;64;1992-09-28
Research & Development;Systems Analyst;Axel Chu;43;2018-05-04
Corporate;Test Engineer;Cameron Evans;50;2018-12-13
Manufacturing;Business Partner;Cameron Powell;41;2004-08-20
Manufacturing;Development Engineer;Carter Reed;40;2005-07-07
Speciality Products;HRIS Analyst;Charles Robinson;26;2021-03-12
Manufacturing;Sr. Analyst;Landon Lopez;38;2008-07-05
Research & Development;Director;Miles Mehta;64;1996-05-02
Speciality Products;Automation Engineer;Ezra Simmons;38;2010-07-01
Corporate;Sr. Analyst;David Owens;43;2004-04-16
Research & Development;Vice President;Xavier Park;40;2020-11-08
Research & Development;Automation Engineer;Asher Morales;52;2020-07-10
Corporate;Analyst II;Mason Cao;52;2017-09-14
Speciality Products;Vice President;Joshua Fong;47;2012-06-11
Speciality Products;Sr. Manger;Logan Bryant;30;2020-07-18
Research & Development;Engineering Manager;Christopher Vega;54;2007-10-27
